full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"    1P/Halley",0.967142908462304,0.585978111516909,162.262690579161,58.42008097656843,111.3324851045177,35.08231047359043,19860205.8953171,75.3158906863411,HTC,57852,,7428,,2.696463929511566E-10,1.554613388970244E-10,,,5.5,8.0,13.6,5.0,0.03,11.0,14.9x8.2,0.04,,
"    2P/Encke",.8483345289268938,.3359622241978987,11.78139806220532,334.5675640071636,186.5467134764581,4.094343788381025,20170310.0255761,3.29696089776129,ETc,4046,0,2692,,-1.896129560792947E-11,1.729815032536023E-13,3.502518541813098E-9,,15.5,4.5,,,,4.8,,0.046,11.083,
"    3D/Biela",0.751299,0.879073,13.2164,250.669,221.6588,6.190243166802708,18321126.6152000,6.64552531740703,JFc,,,26,,0.39E-8,-0.0254E-8,,,7.1,10.0,,,,,,,,
"    4P/Faye",.5667779651459758,1.666174238870926,9.034518506244535,199.2927088047371,204.9772664191772,6.025836346104741,20061115.4260798,7.54263372412913,JFc,5514,0,3960,,3.370396077763889E-9,-4.176493252240298E-10,-8.503129639033698E-10,,11.2,9.,,,,3.54,,,,
"    5D/Brorsen",0.809796,0.589847,29.3821,102.9676,14.9468,5.612409524573614,18790331.0341000,5.46119640576126,JFc,,,127,,1.27E-8,0.1343E-8,,,8.3,10.0,,,,,,,,
"    6P/d'Arrest",.6114221687103928,1.361453942678221,19.4817058769114,138.9336994438987,178.1149328626217,5.645914121319897,20150302.4169627,6.55836529880981,JFc,9524,1,2320,,3.562700672265693E-9,-9.87648424688728E-11,-6.467661531897842E-10,101.5484959061085,14.7,11.,,,,3.2,,,,
"    7P/Pons-Winnecke",.6344314855486161,1.254028027364578,22.30518196566083,93.42613785497895,172.2790064293571,5.606672376479136,20080926.0434504,6.35354179171273,JFc,36557,0,1229,,6.229355744118022E-11,-3.041685752621526E-12,-1.108713137970645E-10,135.5840485715196,16.2,4.5,,,,5.2,,,,
"    8P/Tuttle",.8198532564761598,1.027132026711396,54.9828639120142,270.3415116921017,207.5066807787936,10.37614961601747,20080127.0227965,13.614697144551,JFC,19865,2,1641,,5.628981793677806E-10,1.390167687923292E-10,-4.387120587091222E-10,,15.0,4.5,,,,4.5,,,,
"    9P/Tempel 1",.509588468064943,1.542572978351424,10.47400282151021,68.74889841631139,179.2123960149718,4.74835975018686,20160802.5908756,5.57873549234425,JFc,1978,2,1648,,-2.221820776841708E-9,-3.35709080533317E-10,-2.638826307372622E-10,,12.3,10.25,14.6,5.,0.03,6.0,7.6x4.9,0.05,40.7,
"   10P/Tempel 2",.5362687141037796,1.42179242291609,12.02431626701113,117.8021287724308,195.6060493445979,4.710174369741832,20100704.7797323,5.3686229080793,JFc,6640,0,3711,,2.040007106240362E-10,6.053768178769949E-12,9.187891852251084E-11,,13.8,6.,,,,10.6,,0.022,8.93,
"   11P/Tempel-Swift-LINEAR",.5774403918911596,1.389752619959597,14.43689229260524,238.9908765179936,167.7584807340938,5.188029985336803,20201125.9975778,5.96461591241717,JFc,7001,0,1162,,,,,,15.3,19.5,18.6,5.,0.03,,,,,
"   12P/Pons-Brooks",.9542202409863804,.7780186522514184,74.7037493144222,255.9595132752626,199.0936340963835,33.21161646225214,19540523.1759312,70.0620696485467,HTC,75909,0,393,,2.962808270929297E-9,-2.711607195758214E-10,,,5.,15.0,11.,10.0,,,,,,
"   13P/Olbers",0.930297147462082,1.17845061442612,44.609885733805,86.10312835462277,64.64120651677283,32.63510425508353,19560619.1353310,69.5183499778236,HTC,51679,,91,,9.451067991051224E-9,6.487207540562958E-10,,,5.,15.0,11.5,10.0,,,,,,
"   14P/Wolf",.357453296269419,2.728800509097144,27.94263968532118,202.1079779976616,159.1964068959347,5.764902729138832,20090227.6070988,8.75203072040838,JFc,10439,0,361,,,,,,15.7,4.5,,,,4.66,,,9.02,
"   15P/Finlay",.720352832541411,.975119902698153,6.801717758087095,13.79761905848707,347.5604671242106,5.998810221893949,20141226.9990696,6.51147827978861,JFc,4782,0,1184,,2.217384023703929E-9,-2.323952691500021E-10,2.294121479028705E-9,,10.7,18.5,15.1,5.,0.03,,,,,
"   16P/Brooks 2",.5630632502431984,1.46671433774411,4.259482438591073,159.2908192554265,219.7163700336009,5.2469088059282,20140607.6649986,6.15033324268974,JFc,2448,1,213,,,,,,12.1,13.5,15.6,5.,0.03,,,,,
"   17P/Holmes",.4317519490501375,2.056944014434015,19.0918205316614,326.7639708316963,24.53542337513593,5.182654998693097,20140327.5399884,6.88707760943617,JFc,3665,0,1697,,4.791743337115952E-9,1.297575992185322E-9,,,9.1,15.25,13.8,5.,0.03,3.42,,,,
